School URN,School Name,Region,Local Authority,Phase of Education,School Type
137390,Pegasus Academy,West Midlands,Dudley,Secondary,Academy converter
138186,Dorchester Middle School,South West,Dorset,Secondary,Academy converter
137661,Joydens Wood Junior School,South East,Kent,Primary,Academy converter
137735,The Beacon School,South East,Surrey,Secondary,Academy converter
137781,Ash Green School,West Midlands,Warwickshire,Secondary,Academy converter
137857,Quarrydale Academy,East Midlands,Nottinghamshire,Secondary,Academy converter
138671,Tregolls Academy,South West,Cornwall,Primary,Academy sponsor led
138208,Woodfield Academy,West Midlands,Worcestershire,Secondary,Academy converter
145488,Blaby Stokes Church of England Primary School,East Midlands,Leicestershire,Primary,Academy sponsor led
140104,Eggbuckland Community College,South West,Plymouth,Secondary,Academy converter
140220,Willowdown Primary School,South West,Somerset,Primary,Academy sponsor led
137013,Notley High School and Braintree Sixth Form,East of England,Essex,Secondary,Academy converter
139127,The Nethersole CofE Academy,West Midlands,Warwickshire,Primary,Academy sponsor led
139179,Tabor Academy,East of England,Essex,Secondary,Academy converter
139184,Venerable Bede Church of England Academy,North East,Sunderland,Secondary,Academy converter
139275,Laurel Lane Primary School,London,Hillingdon,Primary,Academy sponsor led
147581,"Blessed Trinity Roman Catholic College, A Voluntary Academy",North West,Lancashire,Secondary,Academy converter
139821,Ark Alexandra Academy,South East,East Sussex,Secondary,Academy sponsor led
140018,Thomas Hinderwell Primary Academy,Yorkshire and the Humber,North Yorkshire,Primary,Academy sponsor led
148431,Longdendale High School,North West,Tameside,Secondary,Academy converter
141988,Marden Vale CofE Academy,South West,Wiltshire,Primary,Academy sponsor led
143007,Bulford St Leonard's C of E (VA) Primary School,South West,Wiltshire,Primary,Academy converter
134195,Manchester Mesivta School,North West,Bury,Secondary,Voluntary aided school
140922,Idsall School,West Midlands,Shropshire,Secondary,Academy converter
141003,Jewellery Quarter Academy,West Midlands,Birmingham,Secondary,Free schools
142286,Manor Green Primary Academy,North West,Tameside,Primary,Academy converter
141069,The Cooper School,South East,Oxfordshire,Secondary,Academy converter
141171,Castlewood School,West Midlands,Solihull,Special school,Academy special sponsor led
147747,Chaucer Infant School,East Midlands,Derbyshire,Primary,Academy converter
148423,Mark Hall Academy,East of England,Essex,Secondary,Academy sponsor led
117379,Millbrook School,East of England,Hertfordshire,Primary,Community school
136056,Millfields Church of England (Controlled) Primary School,North West,Wirral,Primary,Voluntary controlled school
118198,Holy Cross Catholic Primary School,South East,Isle of Wight,Primary,Voluntary aided school
144009,Courtlands School,South West,Plymouth,Special school,Academy special converter
144298,Beechcroft St Paul's CofE Primary School,South West,Dorset,Primary,Academy converter
143916,XP East,Yorkshire and the Humber,Doncaster,Secondary,Free schools
143965,Birley Spa Primary Academy,Yorkshire and the Humber,Sheffield,Primary,Academy converter
144923,Becket Primary School,South West,North Somerset,Primary,Academy converter
139058,Iceni Secondary Academy,East of England,Norfolk,Secondary,Academy sponsor led
144279,North Gosforth Academy,North East,North Tyneside,Secondary,Academy sponsor led
144400,Cherry Tree Academy,Yorkshire and the Humber,Wakefield,Primary,Academy sponsor led
142382,Trinity Catholic College,North East,Middlesbrough,Secondary,Academy converter
144637,The Coombes Church of England Primary School,South East,Wokingham,Primary,Academy sponsor led
145155,UTC Swindon,South West,Swindon,Secondary,University technical college
145014,Knockhall Primary School,South East,Kent,Primary,Academy sponsor led
145336,Tavistock College,South West,Devon,Secondary,Academy converter
148039,Northbrook Primary Academy,North West,Lancashire,Primary,Academy sponsor led
145501,Flegg High Ormiston Academy,East of England,Norfolk,Secondary,Academy converter
145528,Walker Riverside Academy,North East,Newcastle upon Tyne,Secondary,Academy converter
145562,Westfield School,Yorkshire and the Humber,Sheffield,Secondary,Academy sponsor led
145708,Lammas School,London,Waltham Forest,Secondary,Academy converter
146034,King's Meadow Academy,Yorkshire and the Humber,Wakefield,Primary,Academy converter
120095,Coleman Primary School,East Midlands,Leicester,Primary,Community school
146272,Chaselea Alternative Provision Academy,West Midlands,Staffordshire,Pupil referral unit,Academy alternative provision sponsor led
140738,Old Trafford Community Academy,North West,Trafford,Primary,Academy converter
